Symbol,Alternate Symbol,IMG_Imaging_Device_Make,IMG_Imaging_Device_Model,IMG_Sensor,IMG_Lens_Brand,IMG_Lens_model,IMG_Lens_Size_mm,IMG_Spectral_Range,IMG_Spectral_Sensor_Range,IMG_Illumination_Source_Number,IMG_Illumination_Wavelength,IMG_Illumination_Source_Wattage,IMG_Illumination_Aux_Wattage,IMG_Acquisition_Filters,Filter Density ,IMG_Acquisition_Filter_Nominal_Pass_Center_Wavelength,IMG_Acquisition_Filter_Nominal_Pass_FWHM
Units,,,,,,,,,nm,watts,nm,,watts,,g/cm^3,nm,nm
Uncertainty/Variability (+-),,,,,,,,,,,,,,,,,
Reference # on Figure,,,,,,,,,,,,,,,,,
MB940IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,915.0-965.0,300-1100,2,940,1.07,,,,,
TX450RB,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,437.5-462.5,300-1100,1,450,1.90,,,,,
TX535Gr,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,517.5-552.5,300-1100,1,535,0.38,,,,,
TX570Am,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,560.0-580.0,300-1100,1,570,0.22,,,,,
TX635Rd,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,622.5-647.5,300-1100,1,635,0.82,,,,,
TX700IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,682.5-717.5,300-1100,1,700,0.12,,,,,
TX780IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,765.0-795.0,300-1100,1,780,0.16,,,,,
TX870IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,850.0-890.0,300-1100,1,870,0.15,,,,,
TX940IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,915.0-965.0,300-1100,1,940,0.09,,,,,
RE455RB,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,430-480,300-1100,1,455,0.27,,,,,
RE870IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,845-895,300-1100,1,870,0.80,,,,,
RS455RB,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,430-480,300-1100,1,455,0.27,,,,,
RS870IR,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,845-895,300-1100,1,870,0.80,,,,,
WBRBG58,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,"500-540,760-1100 ",300-1100,2,455,3.80,,G58,http://motion.kodak.com/motion/uploadedfiles/Kodak/motion/Products/Lab_And_Post_Production/Kodak_Filters/W2-58.pdf,515,
WBRBG61,,,,,,,,,,,,,,,,,
WBRBB47,,,,,,,,,,,,,,,,,
WBRBO22,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,560-1100,300-1100,2,455,3.80,,O22,http://motion.kodak.com/motion/uploadedfiles/Kodak/motion/Products/Lab_And_Post_Production/Kodak_Filters/W2-22.pdf,605,
WBRBR25,,,,,,,,,,,,,,,,,
WBUVB47,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,"410-480, 750-1100",300-1100,2,365,4.00,,B47,http://motion.kodak.com/motion/uploadedfiles/Kodak/motion/Products/Lab_And_Post_Production/Kodak_Filters/W2-47.pdf,430,
WBUVG58,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,"500-540,760-1100 ",300-1100,2,365,4.00,,G58,http://motion.kodak.com/motion/uploadedfiles/Kodak/motion/Products/Lab_And_Post_Production/Kodak_Filters/W2-58.pdf,515,
WBUVG61,,,,,,,,,,,,,,,,,
WBUV022,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,560-1100,300-1100,2,365,4.00,,O22,http://motion.kodak.com/motion/uploadedfiles/Kodak/motion/Products/Lab_And_Post_Production/Kodak_Filters/W2-22.pdf,605,
WBUVR25,,,,,,,,,,,,,,,,,
WBUVUVb,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,400-1100,300-1100,2,365,4.00,,Schott CG400,2.55,1600,1200
WBUVUVP,,MegaVision,E6,E6-mono,Megavision,f/4.5 Macro UV-IR Apochromat,120,325-375,300-1100,2,365,4.00,,Baeder U ,,350,25
MBUVRB,,,,,,,,,,,,,,,,,
WBRBR25,,,,,,,,,,,,,,,,,
WBUVR25,,,,,,,,,,,,,,,,,
